,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p,i_p,year,month,season,distance_travelled_km,speed_p,speed_z_p,distance_travelled_km_p,Maximum.Wind_step_2,Maximum.Wind_step_3,Maximum.Wind_step_1,Maximum.Wind_step_4,Maximum.Wind_step_5,diff_step_1,diff_step_2,diff_step_3,diff_step_4,diff_step_5,rapid_int_step_1,rapid_int_step_2,rapid_int_step_3,rapid_int_step_4,rapid_int_step_5
30,AL011983,            UNNAMED, TD,10.2,-39.4,25,7/23/1983 18:00,,,2,22,,,20.0,419.8423464,0.031424372,9.266243887,50,20,10.0,-38.0,1,1983,7,3,154.86536006900053,,,,30,30,25,30,30,0,5,5,5,5,0.0,0.0,0.0,0.0,0.0
31,AL011983,            UNNAMED, TD,10.7,-40.8,25,7/24/1983 0:00,,,3,22,,,25.0,404.2985139,0.031424372,9.266243887,49,25,10.2,-39.4,2,1983,7,3,162.873203881692,419.8423464,0.031424372,154.86536006900053,30,30,30,30,30,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
32,AL011983,            UNNAMED, TD,10.9,-42.1,30,7/24/1983 6:00,,,4,22,5.0,125.0,25.0,26.33437826,0.013830121,9.266243887,49,25,10.7,-40.8,3,1983,7,3,143.72376944546173,404.2985139,0.031424372,162.873203881692,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
33,AL011983,            UNNAMED, TD,11.0,-43.4,30,7/24/1983 12:00,10.0,0.0,5,22,5.0,150.0,30.0,25.43659925,0.014095055,9.266243887,49,30,10.9,-42.1,4,1983,7,3,142.35637507624807,26.33437826,0.013830121,143.72376944546173,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
34,AL011983,            UNNAMED, TD,11.2,-44.9,30,7/24/1983 18:00,5.0,0.0,6,22,5.0,150.0,30.0,23.82418141,0.014754353999999999,9.266243887,49,30,11.0,-43.4,5,1983,7,3,165.17583862815422,25.43659925,0.014095055,142.35637507624807,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35,AL011983,            UNNAMED, TD,11.6,-46.2,30,7/25/1983 0:00,5.0,0.0,7,22,0.0,0.0,30.0,25.61562206,0.015016827,9.266243887,48,30,11.2,-44.9,6,1983,7,3,148.517641892808,23.82418141,0.014754353999999999,165.17583862815422,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
36,AL011983,            UNNAMED, TD,11.8,-47.8,30,7/25/1983 6:00,0.0,0.0,8,22,0.0,0.0,30.0,26.04267793,0.01514779,9.266243887,48,30,11.6,-46.2,7,1983,7,3,175.62873632169618,25.61562206,0.015016827,148.517641892808,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
37,AL011983,            UNNAMED, TD,12.0,-49.0,30,7/25/1983 12:00,0.0,0.0,9,22,0.0,0.0,30.0,26.91292985,0.015409161000000001,9.266243887,48,,11.8,-47.8,,1983,7,3,132.44651861439127,,,,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
38,AL011983,            UNNAMED, TD,12.1,-50.5,30,7/25/1983 18:00,0.0,0.0,10,22,0.0,0.0,30.0,25.66606521,0.015929636,9.266243887,48,,12.0,-49.0,,1983,7,3,163.4955870191142,,,,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
39,AL011983,            UNNAMED, TD,12.2,-52.0,30,7/26/1983 0:00,0.0,0.0,11,22,0.0,0.0,30.0,24.63389104,0.016188713,9.266243887,47,,12.1,-50.5,,1983,7,3,163.43470351797106,,,,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
40,AL011983,            UNNAMED, TD,12.4,-53.1,30,7/26/1983 6:00,0.0,0.0,12,22,0.0,0.0,30.0,27.24408733,0.016447002,9.266243887,47,,12.2,-52.0,,1983,7,3,121.55822543767226,,,,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
41,AL011983,            UNNAMED, TD,12.6,-54.5,30,7/26/1983 12:00,0.0,0.0,13,22,0.0,0.0,30.0,23.70710573,0.016575846,9.266243887,47,,12.4,-53.1,,1983,7,3,153.60101476619033,,,,30,30,30,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
42,AL011983,            UNNAMED, TD,13.0,-56.0,30,7/26/1983 18:00,0.0,0.0,14,22,0.0,0.0,30.0,22.92666727,0.01670449,9.266243887,47,,12.6,-54.5,,1983,7,3,168.61879513373114,,,,30,30,30,30,25,0,0,0,0,-5,0.0,0.0,0.0,0.0,0.0
43,AL011983,            UNNAMED, TD,13.1,-57.2,30,7/27/1983 0:00,0.0,0.0,15,22,0.0,0.0,30.0,26.79748711,0.016961163,9.266243887,46,,13.0,-56.0,,1983,7,3,130.4623545088136,,,,30,30,30,25,,0,0,0,-5,,0.0,0.0,0.0,0.0,
44,AL011983,            UNNAMED, TD,13.3,-58.8,30,7/27/1983 6:00,0.0,0.0,16,22,0.0,0.0,30.0,24.82819365,0.017217008,9.266243887,46,,13.1,-57.2,,1983,7,3,174.63268404273884,,,,30,25,30,,,0,0,-5,,,0.0,0.0,0.0,,
45,AL011983,            UNNAMED, TD,13.7,-60.1,30,7/27/1983 12:00,0.0,0.0,17,22,0.0,0.0,30.0,25.41744455,0.017726169,9.266243887,46,,13.3,-58.8,,1983,7,3,147.4282523358267,,,,25,,30,,,0,-5,,,,0.0,0.0,,,
46,AL011983,            UNNAMED, TD,13.9,-61.8,30,7/27/1983 18:00,0.0,0.0,18,22,0.0,0.0,30.0,26.724957399999997,0.017852925,9.266243887,46,,13.7,-60.1,,1983,7,3,184.9165119409071,,,,,,25,,,-5,,,,,0.0,,,,
47,AL011983,            UNNAMED, TD,14.0,-63.0,25,7/28/1983 0:00,-5.0,0.0,19,22,0.0,0.0,30.0,27.58505696,0.01810578,9.266243887,45,,13.9,-61.8,,1983,7,3,129.97483434302185,,,,,,,,,,,,,,,,,,
48,AL011984,            UNNAMED, TD,28.0,-75.5,20,6/11/1984 12:00,,,1,11,,,,,,,91,,,,,1984,6,3,,,,,25,30,25,30,30,5,5,10,10,10,0.0,0.0,0.0,0.0,0.0
49,AL011984,            UNNAMED, TD,28.2,-75.8,25,6/11/1984 18:00,,,2,11,,,20.0,148.6521375,0.019727271,9.266243887,91,20,28.0,-75.5,1,1984,6,3,36.88473916190283,,,,30,30,25,30,30,0,5,5,5,5,0.0,0.0,0.0,0.0,0.0
50,AL011984,            UNNAMED, TD,28.4,-76.5,25,6/12/1984 0:00,,,3,11,,,25.0,141.5619881,0.020218171,9.266243887,90,25,28.2,-75.8,2,1984,6,3,72.05105188562771,148.6521375,0.019727271,36.88473916190283,30,30,30,30,30,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
51,AL011984,            UNNAMED, TD,28.7,-77.2,30,6/12/1984 6:00,,,4,11,5.0,125.0,25.0,8.968103762,0.033522462,9.266243887,90,25,28.4,-76.5,3,1984,6,3,76.07513154363232,141.5619881,0.020218171,72.05105188562771,30,30,30,30,25,0,0,0,0,-5,0.0,0.0,0.0,0.0,0.0
52,AL011984,            UNNAMED, TD,28.9,-77.8,30,6/12/1984 12:00,10.0,0.0,5,11,5.0,150.0,30.0,12.31101574,0.033679483999999996,9.266243887,90,30,28.7,-77.2,4,1984,6,3,62.551243171587686,8.968103762,0.033522462,76.07513154363232,30,30,30,25,,0,0,0,-5,,0.0,0.0,0.0,0.0,
53,AL011984,            UNNAMED, TD,29.0,-78.3,30,6/12/1984 18:00,5.0,0.0,6,11,5.0,150.0,30.0,11.54186682,0.033834866,9.266243887,90,30,28.9,-77.8,5,1984,6,3,49.90465528792315,12.31101574,0.033679483999999996,62.551243171587686,30,25,30,,,0,0,-5,,,0.0,0.0,0.0,,
54,AL011984,            UNNAMED, TD,29.2,-79.1,30,6/13/1984 0:00,5.0,0.0,7,11,0.0,0.0,30.0,9.350519282999999,0.034064843,9.266243887,89,30,29.0,-78.3,6,1984,6,3,80.84590152360344,11.54186682,0.033834866,49.90465528792315,25,,30,,,0,-5,,,,0.0,0.0,,,
55,AL011984,            UNNAMED, TD,29.6,-79.9,30,6/13/1984 6:00,0.0,0.0,8,11,0.0,0.0,30.0,10.89133213,0.034216086,9.266243887,89,30,29.2,-79.1,7,1984,6,3,89.35554627213507,9.350519282999999,0.034064843,80.84590152360344,,,25,,,-5,,,,,0.0,,,,
56,AL011984,            UNNAMED, TD,29.8,-80.3,25,6/13/1984 12:00,-5.0,0.0,9,11,0.0,0.0,30.0,14.07379691,0.034291084,9.266243887,89,,29.6,-79.9,,1984,6,3,44.57834296233146,,,,,,,,,,,,,,,,,,
57,AL011985,                ANA, TD,29.4,-64.2,30,7/15/1985 18:00,,,1,16,,,,,,,58,,,,,1985,7,3,,,,,30,30,30,35,35,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0
58,AL011985,                ANA, TD,29.7,-64.9,30,7/16/1985 0:00,,,2,16,,,30.0,135.24882250000002,0.034947143,9.266243887,57,30,29.4,-64.2,1,1985,7,3,75.4828330536647,,,,30,35,30,35,40,0,0,5,5,10,0.0,0.0,0.0,0.0,0.0
59,AL011985,                ANA, TD,30.1,-65.5,30,7/16/1985 6:00,,,3,16,,,30.0,135.6423606,0.035158197,9.266243887,57,30,29.7,-64.9,2,1985,7,3,72.96122598570766,135.24882250000002,0.034947143,75.4828330536647,35,35,30,40,40,0,5,5,10,10,0.0,0.0,0.0,0.0,0.0
60,AL011985,                ANA, TD,30.6,-66.1,30,7/16/1985 12:00,,,4,16,0.0,0.0,30.0,12.30641295,0.034586883,9.266243887,57,30,30.1,-65.5,3,1985,7,3,80.03600141472121,135.6423606,0.035158197,72.96122598570766,35,40,35,40,45,5,5,10,10,15,0.0,0.0,0.0,0.0,0.0
61,AL011985,                ANA, TS,31.3,-66.6,35,7/16/1985 18:00,5.0,0.0,5,16,0.0,0.0,30.0,12.72777126,0.034804311,9.266243887,57,30,30.6,-66.1,4,1985,7,3,91.27955035746511,12.30641295,0.034586883,80.03600141472121,40,40,35,45,45,0,5,5,10,10,0.0,0.0,0.0,0.0,0.0
